date,state,npa_plz,latitude,longitude,total_healthy,total_sick_guess_no_corona,total_sick_guess_corona,total_sick_corona_confirmed,total_recovered_confirmed,total_recovered_not_confirmed
2020-03-25,FR,1616,46.512,6.85741,2,1,0,0,0,0
2020-03-25,JU,2802,47.3647,7.2815,1,0,0,0,0,0
2020-03-25,VS,1967,46.2336,7.39884,1,0,0,0,0,0
2020-03-25,GE,1251,46.2456,6.26787,2,0,0,1,0,0
2020-03-25,GE,1219,46.192,6.12188,10,2,1,0,0,0
2020-03-25,GR,7500,46.4903,9.81759,1,0,0,0,0,0
2020-03-25,ZH,8055,47.3828,8.53081,1,0,0,0,0,0
2020-03-25,VD,1405,46.7557,6.66845,2,0,0,0,0,0
2020-03-25,GE,1285,46.1485,5.99906,4,0,0,0,0,0
2020-03-25,VS,1904,46.138,7.03187,2,0,0,0,0,0
2020-03-25,ZH,8122,47.3574,8.62763,1,0,0,0,0,0
2020-03-25,VD,1032,46.5608,6.60851,2,0,0,0,0,0
2020-03-25,GE,1242,46.2141,6.03656,2,1,0,0,0,0
2020-03-25,VD,1372,46.6812,6.56626,0,0,1,0,0,0
2020-03-25,JU,2932,47.4533,7.09544,2,0,0,0,0,0
2020-03-25,VD,1510,46.6429,6.7782,1,0,0,0,0,0
2020-03-25,FR,1617,46.5351,6.88047,6,0,0,0,0,0
2020-03-25,JU,2800,47.3751,7.33292,12,1,0,0,0,0
2020-03-25,FR,1731,46.0729,7.03187,1,0,0,0,0,0
2020-03-25,ZH,8803,47.3043,8.54701,1,0,0,0,0,0
2020-03-25,BE,3008,46.9436,7.41822,1,0,0,0,0,0
2020-03-25,FR,1772,46.8347,7.06588,1,0,0,0,0,0
2020-03-25,FR,1725,46.7606,7.0953,4,0,0,0,0,0
2020-03-25,ZH,8001,47.3828,8.53081,2,0,0,0,0,0
2020-03-25,FR,1667,46.5724,7.08357,1,0,0,0,0,0
2020-03-25,FR,1723,46.776,7.1492,1,0,0,0,0,0
2020-03-25,VD,1416,46.7001,6.67557,1,0,0,0,0,0
2020-03-25,VD,1882,46.2794,7.09473,4,0,0,0,0,0
2020-03-25,GL,8752,47.0823,9.00653,1,0,0,0,0,0
2020-03-25,FR,1680,46.6997,6.91569,1,1,0,0,0,0
2020-03-25,VD,1312,46.6515,6.54288,1,0,0,0,0,0
2020-03-25,FR,1661,46.5913,7.03636,1,0,0,0,0,0
2020-03-25,FR,1542,46.8567,6.91091,3,0,0,0,0,0
2020-03-25,FR,1674,46.6393,6.83644,1,0,0,0,0,0
2020-03-25,JU,2950,47.3929,7.12187,1,0,0,0,0,0
2020-03-25,FR,1475,46.7811,6.72042,1,0,0,0,0,0
2020-03-25,FR,1724,46.7387,7.14101,2,0,0,0,0,1
2020-03-25,NE,2087,47.0326,7.01385,1,0,0,0,0,0
2020-03-25,FR,1614,46.5243,6.80516,1,0,0,0,0,0
2020-03-25,VD,1306,46.6286,6.54961,1,0,0,0,0,0
2020-03-25,VD,1862,46.3837,7.05921,1,0,0,0,0,0
2020-03-25,ZH,8413,47.5375,8.66669,1,0,0,0,0,0
2020-03-25,FR,1483,46.8268,6.86344,2,0,0,0,0,0
2020-03-25,JU,2854,47.3351,7.24078,2,0,0,0,0,0
2020-03-25,AG,5304,47.5307,8.29013,1,0,0,0,0,0
2020-03-25,VD,1823,46.414,6.92468,1,0,0,0,0,0
2020-03-25,NE,2036,46.9805,6.86956,1,0,0,0,0,0
2020-03-25,VD,1172,46.4836,6.34894,1,0,0,0,0,0
2020-03-25,BE,2517,47.1182,7.11771,1,0,0,0,0,0
2020-03-25,NE,2207,47.0094,6.85004,1,0,0,0,0,0
2020-03-25,VD,1807,46.4779,6.92197,8,0,0,0,0,0
2020-03-25,VD,1805,46.4876,6.84654,1,0,0,0,0,0
2020-03-25,LU,6216,47.1713,8.06333,1,0,0,0,0,0
2020-03-25,VD,1038,46.6916,6.7062,3,0,0,0,0,0
2020-03-25,VS,1897,46.3677,6.85951,1,0,0,0,0,0
2020-03-25,VD,1816,46.4491,6.89164,1,0,0,0,0,0
2020-03-25,VS,3966,46.2477,7.53015,1,0,0,0,0,0
2020-03-25,FR,1643,46.6773,7.07685,1,0,0,0,0,0
2020-03-25,LU,6030,47.0782,8.33155,1,0,0,0,0,0
2020-03-25,FR,1709,46.8042,7.15974,1,0,0,0,0,0
2020-03-25,BL,4142,47.5186,7.61745,1,0,0,0,0,0
2020-03-25,AG,5453,47.4038,8.32108,1,0,0,0,0,0
2020-03-25,SZ,8832,47.188,8.7021,1,0,0,0,0,0
2020-03-25,AG,5615,47.2897,8.24311,1,0,0,0,0,0
2020-03-25,BE,4933,47.1704,7.77056,1,0,0,0,0,0
2020-03-25,ZH,8185,47.486,8.5585,1,0,0,0,0,0
2020-03-25,ZH,8046,47.3828,8.53081,0,1,0,0,0,0
2020-03-25,GE,1218,46.2358,6.11898,5,0,0,0,0,0
2020-03-25,VD,1860,46.315,6.97239,6,0,0,0,0,0
2020-03-25,VD,1588,46.9521,7.02706,0,0,2,0,0,0
2020-03-25,VD,1131,46.5016,6.47718,5,0,0,0,0,1
2020-03-25,VD,1291,46.3201,6.16343,2,0,0,0,0,0
2020-03-25,NE,2525,47.0644,7.05749,1,0,0,0,0,0
2020-03-25,VD,1071,46.4843,6.78003,2,0,0,0,0,0
2020-03-25,FR,1635,46.625,7.05863,1,0,0,0,0,1
2020-03-25,VS,1968,46.1936,7.45806,1,0,0,0,0,0
2020-03-25,JU,2822,47.3692,7.39303,1,0,0,0,0,0
2020-03-25,VS,1871,46.2385,6.95479,2,0,0,0,0,0
2020-03-25,VD,1277,46.381,6.17905,0,1,0,0,0,0
2020-03-25,GE,1294,46.2664,6.15385,3,0,0,0,0,0
2020-03-25,BE,2712,47.2434,7.18281,1,0,0,0,0,0
